index,article,original_abstract,original_words,original_sentences,llm_summary,llm_words,llm_sentences,llm_mode,llm_name,llm_model,llm_success,llm_version,group_id,test_mode,created_at
2000,"in classical statistics , it is often assumed that the outcome of an experiment is precise and the uncertainty of observations is solely due to randomness. under this assumption ,. numerical data are represented as collections of real numbers. in recent years , however , there has been increased interest in situations when exact outcomes of the experiment are very difficult or impossible to obtain , or to measure. the imprecise nature of the data thus collected is caused by various factors such as measurement errors , computational errors , loss or lack of information. under such circumstances and , in general , any other circumstances such as grouping and censoring ,. when observations can not be pinned down to single numbers , data are better represented by intervals. practical examples include interval - valued stock prices , oil prices , temperature data , medical records , mechanical measurements , among many others. in the statistical literature ,. random intervals are most often studied in the framework of random sets , for which the probability - based theory has developed since the publication of the seminal book matheron ( 1975 ). studies on the corresponding statistical methods to analyze set - valued data , while still at the early stage , have shown promising advances. see stoyan ( 1998 ) for a comprehensive review. specifically , to analyze interval - valued data , the earliest attempt probably dates back to 1990 , when diamond published","many statistical data are imprecise due to factors such as measurement errors , computation errors , and lack of information. in such cases , data are better represented by intervals rather than by single numbers. existing methods for analyzing interval - valued data include regressions in the metric space of intervals and symbolic data analysis , the latter being proposed in a more general setting. however , there has been a lack of literature on the parametric modeling and distribution - based inferences for interval - valued data. in an attempt to fill this gap ,. we extend the concept of normality for random sets by lyashenko and propose a normal hierarchical model for random intervals. in addition. , we develop a minimum contrast estimator ( mce ) for the model parameters , which we show is both consistent and asymptotically normal. simulation studies support our theoretical findings , and show very promising results. finally , we successfully apply our model and mce to a real dataset .",168,10,"Many datasets aren't perfectly accurate, so representing data as ranges (intervals) instead of single numbers can be more realistic. This research develops a new statistical method to better understand and analyze these interval-based datasets, proving it works well in tests and with real-world examples.",44,2,1,Google Gemini,models/gemma-3-27b-it,True,V4,0,False,2026-01-05T14:21:48.682950
2001,"a beguiling prediction of an expanding universe is that distant objects will appear to age at a slower rate than nearby ones. type ia supernovae ( sne ia ) provide extragalactic clocks of unparalleled precision which are sufficiently luminous to reveal this remarkable phenomenon. while a few doubt that expansion alone causes cosmological redshifts ( e.g. , arp 1987 , 1994 ; arp et al. 1990 ; narlikar & arp 1993 ) , the conventional interpretation has only modest experimental verification ( sandage & perelmuter 1991 ). initial suggestions that time dilation might be seen in the photometric history of sne ia ( wilson 1939 ; rust 1974 ) have been confirmed with recent observations of high redshift sn ia light curves ( leibundgut et al. 1996 ; goldhaber et al. specifically , leibundgut et al. (. 1996 ) demonstrated that the broad light curve of sn ia 1995k ( z=0.479 ) was consistent with those of nearby sne ia when dilated by a factor ( 1+z ) as prescribed by cosmological expansion. yet. recent work has shown that there is an intrinsic variation in the breadth of sn ia light curves which is related to the peak luminosity of the supernova ( phillips 1993 ; riess , press , & kirshner 1995 , 1996 ; hamuy et al. 1995 , 1996a , b ). the sense of the correlation is that more luminous sne ia give rise to broader light curves. a skeptic might postulate that within the large volume searched at high redshift , we are naturally selecting the intrinsically bri","we have developed a quantitative , empirical method for estimating the age of type ia supernovae ( sne ia ) from a single spectral epoch. the technique examines the goodness of fit of spectral features as a function of the temporal evolution of a large database of sne ia spectral features. when a sn ia spectrum with good signal - to - noise ratio over the rest frame range 3800 to 6800 is available , the precision of a spectral feature age ( sfa ) is ( 1- ) 1.4 days. sfa estimates are made for two spectral epochs of sn 1996bj ( z=0.574 ) to measure the _ rate _ of aging at high redshift. in the 10.05 days which elapsed between spectral observations ,. sn 1996bj aged 3.35 3.2 days , consistent with the 6.38 days of aging expected in an expanding universe and inconsistent with no time dilation at the 96.4% confidence level. the precision to which individual features constrain the supernova age has implications for the source of inhomogeneities among sne ia .",177,14,"Scientists have created a new way to accurately determine how old a specific type of exploding star (called a Type Ia supernova) is by analyzing its light spectrum. Using this method on a distant supernova, they found evidence supporting the idea that the universe is expanding, and this expansion causes time to pass differently for objects far away.",58,2,1,Google Gemini,models/gemma-3-27b-it,True,V4,0,False,2026-01-05T14:21:57.581734
2002,"heegaard floer theory is a set of invariants for closed , connected 3-manifolds and cobordisms between them , with a related invariant for closed 4-manifolds. together these invariants form a dimensional topological quantum field theory ( tqft ) , meaning a functor from the cobordism category of 3-manifolds to , in this case , the category of graded abelian groups. + the construction of heegaard floer homology involves counting holomorphic curves associated to heegaard diagrams of 3-manifolds. specifically , given a 3-manifold with a genus heegaard diagram , the invariant is defined as the homology of a chain complex generated by g - tuples of intersection points between the and curves. in lipshitz reformulation , the differential arises from counts of rigid holomorphic curves in the symplectic manifold. \times $ ] , with boundaries mapping to the lagrangian submanifolds and. the maps associated to cobordisms arise from a similar construction , which uses heegaard triples to represent certain elementary cobordisms. + in 2008 , lipshitz , ozsvth and thurston developed bordered heegaard floer homology , which generalizes to parametrized riemann surfaces and to bordered 3-manifolds , meaning 3-manifolds with parametrized boundary. given two such 3-manifolds and , if the surfaces and have compatible p","lipshitz , ozsvth and thurston defined a bordered heegaard floer invariant for 3-manifolds with two boundary components , including mapping cylinders for surface diffeomorphisms. we define a related invariant for certain 4-dimensional cobordisms with corners , by associating a morphism to each such cobordism between two mapping cylinders and. like the osvth - szab invariants of cobordisms between closed 3-manifolds , this morphism arises from counting holomorphic triangles on heegaard triples. we demonstrate that the homotopy class of the morphism only depends on the symplectic structure of the cobordism in question .",92,4,"This research introduces a new mathematical tool to study the shapes of spaces—specifically, 4-dimensional spaces built from 3-dimensional ones. This tool counts specific geometric shapes within these spaces and reveals information about their underlying structure, particularly how they change with different ""symplectic structures.""",43,3,1,Google Gemini,models/gemma-3-27b-it,True,V4,0,False,2026-01-05T14:22:06.509934
2004,"circumstellar disks are created from the remnant material of stellar formation. young protostellar disks provide a method for distinguishing the age of its stellar host and help models converge in determining the exact mechanisms of planet formation. current models suggest most protoplanetary disks will photoevaporate within 1 - 5 myr ( alexander et al 2006a , b ; owen et al. this infancy in which the star has just begun fusion , but not yet shed its disk , is the key time in which planet formation occurs. finding stars within this narrow window of the stars lifetime , provides a further glimpse into the mysterious cause of planet formation. additional clues to planet formation have resulted from the many planetary systems with large dust disks ( kalas et al. 2008 ; lagrange et al. 2010 ; marois et al. 2008 ; 2010 ). the presence of holes , gaps , and azimuthal symmetries in the dust distribution may also indicate the presence of undiscovered planets. although many studies have not found strong correlation between the presence of circumstellar disks and planets , newer _ herschel _ observations have suggested there is a correlation ( marshall et al. 2014 ; kennedy et al. 2014 ; 2015 ). for an alternate view see moro - martn et al. there have been many studies attempting to quantify the occurrence of ir excesses and their inferred disks in fkg and m type stars. the occurrence of excess ir emission at longer wavelengths ( 70","we present sources selected from their wide - field infrared survey explorer ( wise ) colors that merit future observations to image for disks and possible exoplanet companions. introducing a weighted detection method , we eliminated the enormous number of specious excess seen in low signal to noise objects by requiring greater excess for fainter stars. this is achieved by sorting through the 747 million sources of the allwise database. in examining these dim stars. , it can be shown that a non - gaussian distribution best describes the spread around the main - sequence polynomial fit function. using a gamma probability density function ( pdf ). , we can best mimic the main sequence distribution and exclude natural fluctuations in ir excess. with this new methodology we re - discover 25 ir excesses and present 14 new candidates. one source ( j053010.20 - 010140.9 ) , suggests a 8.40 0.73 au disk , a likely candidate for possible direct imagining of planets that are likely fully formed. although all of these sources are well within the current flux ratio limit of ( wyatt 2008 ) , j223423.85 + 403515.8 shows the highest bolometric flux ratio ( =0.0694 ) between disk and host star , providing a very good candidate for direct imaging of the circumstellar disk itself. in re - examining the kepler candidate catalog ( original study preformed by kennedy and wyatt 2012 ). , we found one new candidate that indicates disk like characterist",247,19,"Scientists analyzed data from a large infrared survey of stars to identify those likely surrounded by disks of dust and gas – the kinds of disks where planets form. They found 14 new stars and confirmed 25 previously known stars that are good candidates for further study, potentially even allowing us to directly *see* planets or the disks around them.",60,2,1,Google Gemini,models/gemma-3-27b-it,True,V4,0,False,2026-01-05T14:22:46.771458
2005,"gravitational potential wells that are deep enough to trap gas hotter than can generally be detected in the thermal x - ray emission of the trapped gas. these potential wells range in size from those of massive elliptical galaxies through groups of galaxies to clusters of galaxies. as one proceeds down this sequence , the fraction of the system s baryons that are contained in the virial - temperature gas rises from to. the central cooling time is defined to be the ratio of the central energy density to the central luminosity density due to radiative cooling. in many ,. perhaps most , systems , is shorter than the hubble time. in the case of an elliptical galaxy such as ngc 4472 , , while in a cluster of galaxies such as hydra. hence , we must ask how these systems endure for times that greatly exceed. in the absence of heating , radiative losses cause the central density to rise inexorably as the central temperature falls. the density reaches arbitrarily large values in a time that is slightly shorter than ( murray & balbus , 1992 ). kaiser & binney ( 2003 ) present a semi - analytic model of this process , which ends in a ` cooling catastrophe '. the xmm - newton and chandra satellites have established two facts for which there was sketchy evidence in earlier data. first , although the temperature drops as one approaches the centre of one of these systems , it is boun","cooling flows galaxies : nuclei galaxies : formation galaxies : jets galaxies : luminosity function in cuspy atmospheres , jets driven by supermassive black holes ( bhs ) offset radiative cooling. the jets fire episodically , but often enough that the cuspy atmosphere does not move very far towards a cooling catastrophe in the intervals of jet inactivity. the ability of energy released on the sub - parsec scale of the bh to balance cooling on scales of several tens of kiloparsecs arises through a combination of the temperature sensitivity of the accretion rate and the way in which the radius of jet disruption varies with ambient density. accretion of hot gas does not significantly increase bh masses , which are determined by periods of rapid bh growth and star formation when cold gas is briefly abundant at the galactic centre. hot gas does not accumulate in shallow potential wells. as the universe ages , deeper wells form , and eventually hot gas accumulates. this gas soon prevents the formation of further stars , since jets powered by the bh prevent it from cooling , and it mops up most cold infalling gas before many stars can form. thus bhs set the upper limit to the masses of galaxies. the formation of low - mass galaxies is inhibited by a combination of photo - heating and supernova - driven galactic winds. working in tandem these mechanisms can probably explain the profound difference between the galaxy luminosity function and the mass functi",251,10,"Supermassive black holes in the centers of galaxies release energy in bursts that prevent hot gas from cooling and forming stars, ultimately limiting how large galaxies can grow. This process, along with other factors like radiation and winds, also explains why there are fewer small galaxies than expected in the universe.",51,2,1,Google Gemini,models/gemma-3-27b-it,True,V4,0,False,2026-01-05T14:22:56.382798
2006,"the inner 500-pc region of the galaxy , known as the central molecular zone ( cmz ) , is rich in dense molecular gas , but the current star formation is unusually inactive. other than the few star forming regions such as sgr b2 , sgr a complex , and sgr c , most cmz clouds appear to be inactive in star formation ( e.g. , g0.253 + 0.016 ; * ? ? ?. * ; * ? ? ?. * ; * ? ? ?. * ; * ? ? ?. * ; * ? ? ?. * ; * ? ? ?. this inactivity is in contrast to the general star formation relation that has been established for the galactic disk clouds as well as external galaxies , which presents a good correlation between the amount of dense molecular gas and the star formation rate. the overall star formation rate in the cmz is an order of magnitude lower than the prediction of this correlation. recent theoretical works by and point out that star formation in the cmz could be regulated by the strength of turbulence : the inflowing gas through the galactic bar drives strong turbulence , resulting in episodes of low star formation activity ; when the turbulence finally dissipates , a burst of star formation takes place. such dissipation of the turbulence could be induced by compressive tides during a close passage to the bottom of the gravitational potential near sgr a *. in the simulations of , the massive molecular clouds in the cmz are found to be in several streams of open trajectory centered at sgr a * with a rad","we report the discovery of a population of deeply embedded protostellar candidates in the 20 kms cloud , one of the massive molecular clouds in the central molecular zone ( cmz ) of the milky way , using interferometric submillimeter continuum and ho maser observations. the submillimeter continuum emission shows five 1-pc scale clumps , each of which further fragments into several 0.1-pc scale cores. we identify 17 dense cores , among which 12 are gravitationally bound. among the 18 ho masers detected ,. 13 coincide with the cores and probably trace outflows emanating from the protostars. there are also 5 gravitationally bound dense cores without ho maser detection. in total. the 13 masers and 5 cores may represent 18 protostars with spectral types later than b1 or potential growing more massive stars at earlier evolutionary stage , given the non - detection in the centimeter radio continuum. in combination with previous studies of choh masers ,. we conclude that the star formation in this cloud is at an early evolutionary phase , before the presence of any significant ionizing or heating sources. our findings indicate that star formation in this cloud may be triggered by a tidal compression as it approaches pericenter , similar to the case of g0.253 + 0.016 but with a higher star formation rate , and demonstrate that high angular resolution , high sensitivity maser and submillimeter observations are a promising technique t",238,14,"Scientists have found evidence of 18 baby stars forming inside a large, dense cloud of gas and dust in the Milky Way galaxy. These stars are very young and still gathering mass, and their formation seems to be triggered by the cloud being squeezed together as it moves through space.",50,2,1,Google Gemini,models/gemma-3-27b-it,True,V4,0,False,2026-01-05T14:23:05.585297
2008,"weak gravitational lensing , the shearing of galaxy images by gravitational bending of light , is an effective tool to probe the large - scale matter distribution of the universe. it is also a means to measure the cosmological parameters by comparing observation to numerical simulations of large scale structure growth. there are many weak lensing ( wl ) surveys underway to obtain the cosmological parameters to higher precision , and in particular to probe the evolution of the dark energy by observing its effects on the evolution of matter distribution ( dls , cfhtls ). the wl signal is very subtle , however ; it is necessary to measure these small distortions ( typical shear ) in the presence of optical distortions and the asymmetric point - spread - function ( psf ) of real - life imaging. the level of systematic error in the wl measurement methods are currently above the statistical accuracy expected from future wide and deep wl surveys ( pan - starrs , snap , lsst , ska ). because there are no `` standard shear '' lenses on the sky , shear - measurement techniques are tested by applying them to artificial galaxy images and seeing if one can correctly extract a shear applied to the simulation. in most cases ,. the recovered shear can be written as. departures from the ideal we will term `` calibration '' or `` multiplicative '' errors and quote as percentages. deviations from the ideal can result from uncorrecte","we implement the elliptical gauss - laguerre ( egl ) galaxy - shape measurement method proposed by bernstein & jarvis ( 2002 ) [ ] and quantify the shear recovery accuracy in weak lensing analysis. this method uses a deconvolution fitting scheme to remove the effects of the point - spread function ( psf ). the test simulates noisy galaxy images convolved with anisotropic psfs , and attempts to recover an input shear. the tests are designed to be immune to shape noise , selection biases , and crowding. the systematic error in shear recovery is divided into two classes , calibration ( multiplicative ) and additive , with the latter arising from psf anisotropy. at s. / n , the deconvolution method measures the galaxy shape and input shear to multiplicative accuracy , and suppresses of the psf anisotropy. these systematic errors increase to for the worst conditions , with poorly resolved galaxies at s / n. the egl weak lensing analysis has the best demonstrated accuracy to date , sufficient for the next generation of weak lensing surveys .",181,9,"This research tested a method for precisely measuring the shapes of distant galaxies to understand how gravity bends light (weak lensing). The method successfully recovers galaxy shapes with very high accuracy, even with noisy images and blurry telescopes, making it suitable for future large-scale surveys of the universe.",48,2,1,Google Gemini,models/gemma-3-27b-it,True,V4,0,False,2026-01-05T14:23:31.491581
2009,"we present a new derivation of a proof of the tcp / cpt theorem using schwinger s extended action principle and green s function methods. sixty years ago , schwinger reformulated quantum field theory in terms of a generalized variation of action principle ( first defined in detail in ) , and showed how propagators and multiparticle green s functions can be derived from this action principle in , , and. schwinger first described the concept of `` strong reflection '' for tcp in relativistic quantum fields in. he also described the critical connection between t inversion and c ( complex / charge ) conjugation in. t inversion reverses the sign in front of the action integral and c conjugation is required to counterbalance. the use of the anti - automorphism ( operators with ) on the interchange of the initial and final spacelike surfaces therefore involves the conjugate algebra and c. this critical connection between t and c was described by schwinger in a very short set of comments ( on page 720 in ). this was done for a limited set of cases and as an intermediate step only in making a new proof for the spin statistics theorem ( schwinger reviewed this connection between spin statistics and tcp again in ). such a need for time reversal and the endpoint variations for field theories was also postulated by p. weiss in. this critical connection between t and c emphasizes the importance o","we present a new derivation of the proof for the tcp / cpt theorem using the dynamical principle and variation of action methods first defined by schwinger in 1951. this new proof will significantly extend the tcp theorem beyond the original proofs by pauli - lders and jost , which were significantly constrained by limits of free quantum fields and the asymptotic condition. this paper gives a more fundamental proof based on invariance of the variation of action with interactions included and no free field or asymptotic condition on the quantum fields. this new proof for tcp / cpt can now be applied to more complicated quantum field systems that include n - particle bound states and unstable states .",120,4,"This research offers a stronger, more basic proof of a fundamental rule in physics (the TCP/CPT theorem) using a method developed decades ago. Unlike previous proofs, this new approach works for a wider range of complex systems, including those with unstable particles and bound states, without relying on restrictive conditions.",50,2,1,Google Gemini,models/gemma-3-27b-it,True,V4,0,False,2026-01-05T14:23:39.657922
2011,"recently , the atlas and cms collaborations reported some excess around 750 gev in the observation of the diphoton invariant mass spectrum from the run - ii data at 13 tev. if confirmed , this could be a new particle with spin-0 or -2 and zero electric charge. these data also indicate that fb can explain the excess of diphoton events. therefore , should have sizable interaction with charged particles in order to have a sufficiently large branching fraction in the diphoton mode. it implies that we have to improve the standard model ( sm ) by adding two types of particles at least : , and a new charged particle that interacts with , and producing through one loop diagram. along this line of thought ,. a large number of papers have recently been published ; see refs. another motivation for going beyond the sm ( bsm ) comes from nonzero neutrino masses and mixings as well as nonbaryonic cold dark martter , for which there are a huge number of different models. for neutrino masses and mixings , radiative seesaw models are renowned as having an elegant mechanism to explain tiny neutrino masses within renormalizable theories. some kinds of radiative neutrino mass models have new charged particles that are naturally introduced as a mediating particles in the loops responsible for neutrino masses and mixings. moreover some of the radiative neutrino mass models can accommodate dark matter ( dm ) candid","we propose a new type of radiative neutrino model with a local dark symmetry where neutrino masses are induced at the three - loop level , and discuss the muon anomalous magnetic moment , and dark matter candidates therein. by allowing the hypercharges larger than 3/2 for new fields that contribute to the neutrino masses and making them decay into the standard model fields appropriately , we introduce a lot of new particles with multiple electrical charges in a natural manner. as a by - product. , we can accommodate the 750 gev diphoton excess depending on the hypercharge quantum numbers of new fields responsible for the neutrino masses at the three - loop level. kias - p16018",118,5,"This research introduces a new idea about how tiny particles called neutrinos get their mass, linking it to the existence of dark matter and potentially explaining unusual behavior seen in other particles. The model requires the existence of several new, complex particles with unique electrical charges, and could also explain a previously observed energy blip in particle experiments.",58,2,1,Google Gemini,models/gemma-3-27b-it,True,V4,0,False,2026-01-05T14:24:02.017716
2012,"the inflationary stage of the very early universe explains the dynamical origin of the observed isotropic and homogeneous frw geometry. the patch of the frw geometry covers the cosmological horizon and beyond if inflation lasted e - folds or longer. here. is the potential energy of the inflation , and is a correction from the ( p)reheating stage after inflation , which is not essential for our discussion. chaotic inflationary models , associated with a large energy ( gut scale ) of gev , predict a very large number of inflationary e - folds ,. long - lasting inflation erases all classical anisotropies and inhomogeneities of the pre - inflationary stage. however , scalar and tensor vacuum fluctuations during inflation lead to almost scale free post - inflationary scalar and tensor metric inhomogeneities around our smooth observable frw patch. in particular , the amplitude of the gravitational waves generated from the vacuum fluctuations during inflation is proportional to , ( where is the reduced planck mass ). there are significant efforts to measure the -mode of polarizations , since this will provide a direct probe of the scale of inflation. the current c.l. limits on ( ratio of the tensor to scalar amplitudes of cosmological fluctuations ) ( wmap - only ) and ( wmap plus acoustic baryon oscillation , plus supernovae ) @xci","we show that expanding or contracting kasner universes are unstable due to the amplification of gravitational waves ( gw ). as an application of this general relativity effect. , we consider a pre - inflationary anisotropic geometry characterized by a kasner - like expansion , which is driven dynamically towards inflation by a scalar field. we investigate the evolution of linear metric fluctuations around this background , and calculate the amplification of the long - wavelength gw of a certain polarization during the anisotropic expansion ( this effect is absent for another gw polarization , and for scalar fluctuations ). these gw are superimposed to the usual tensor modes of quantum origin from inflation , and are potentially observable if the total number of inflationary e - folds exceeds the minimum required to homogenize the observable universe only by a small margin. their contribution to the temperature anisotropy angular power spectrum decreases with the multipole as , where depends on the slope of the initial gw power - spectrum. constraints on the long - wavelength gw can be translated into limits on the total duration of inflation and the initial gw amplitude. the instability of classical gw ( and zero - vacuum fluctuations of gravitons ) during kasner - like expansion ( or contraction ) may have other interesting applications. in particular , if gw become non - linear , they can significantly alter the geometry before th",238,9,"This research shows that certain types of expanding or contracting universes are unstable because gravity waves get stronger over time. These amplified gravity waves, created during a period before the rapid expansion of the universe (inflation), could potentially be detected today and tell us more about how long inflation lasted and what the universe was like in its earliest moments.",60,2,1,Google Gemini,models/gemma-3-27b-it,True,V4,0,False,2026-01-05T14:24:10.114658
